a,b,c,,n2,,y1,y2,n3,V,r,roundness
[mm],[mm],[mm],n_xy,n_xz,n_yz,c/a,b/a,,[mm3],,
35.505,30.507,24.527,14.302,13.718,13.262,0.6908,0.85923,10,207410,2.5,0.1
35.5,30.519,24.546,11.879,12.157,12.193,0.69142,0.85969,8.6293,201480,4.89,0.2
35.498,30.519,24.545,9.0268,9.8023,10.586,0.69146,0.85974,6.8339,195820,6.232,0.25
35.489,30.513,24.536,5.913,6.6513,7.5954,0.69137,0.85978,5.0412,184490,8.6,0.35
35.476,30.486,24.517,4.0266,4.6757,5.2663,0.6911,0.85936,3.8286,169100,11.558,0.47
35.473,30.488,24.513,3.298,3.7244,4.3262,0.69102,0.85945,3.2608,157720,13.764,0.56
34.732,30.474,24.493,2.3324,2.6726,2.8998,0.70518,0.87741,2.4837,130830,18.15,0.74
32.567,29.636,24.483,2.0802,2.2772,2.3198,0.75178,0.91001,2.1779,107250,20.134,0.82
30.809,28.403,24.321,2.0344,2.1223,2.1354,0.78942,0.92192,2.0812,92660,20.574,0.85
25.039,23.931,21.799,2.0039,2.0087,2.0177,0.87061,0.95576,2.0073,54915,20.781,0.95
16.47,16.25,15.758,2.0024,2.0108,2.012,0.95682,0.98668,2.0061,17720,,0
