rotation,a,b,A,n2,a,b,c,V,n3,y1,y2
0,603,526,316520,20,70.15,60.97,50.02,213390,10,0.71,0.87
0,460,550,252020,19.94,70.15,60.97,50.02,0,0,0.71,0.87
0,617,441,270800,17.86,70.15,60.97,50.02,0,0,0.71,0.87
50,592,520,295950,5.79,70.15,60.97,50.02,186650,5.15,0.71,0.87
50,448,538,228470,4.88,70.15,60.97,50.02,0,0,0.71,0.87
50,604,429,246410,5.05,70.15,60.97,50.02,0,0,0.71,0.87
100,596,512,269520,3,70.15,60.97,50.02,161930,3.38,0.71,0.87
100,444,533,216210,3.61,70.15,60.97,50.02,0,0,0.71,0.87
100,598,429,237200,3.92,70.15,60.97,50.02,0,0,0.71,0.87
150,575,492,244410,2.72,70.15,60.97,50.02,137200,2.54,0.71,0.87
150,433,502,193680,3.13,70.15,60.97,50.02,0,0,0.71,0.87
150,587,423,213090,2.65,70.15,60.97,50.02,0,0,0.71,0.87
200,536,479,215150,2.43,63.52,58.36,49.94,115780,2.45,0.79,0.92
200,430,495,179060,2.46,63.52,58.36,49.94,0,0,0.79,0.92
200,537,421,193950,2.64,63.52,58.36,49.94,0,0,0.79,0.92
250,494,444,185610,2.51,61.24,54.77,49.9,96964,2.23,0.81,0.89
250,420,454,159550,2.41,61.24,54.77,49.9,0,0,0.81,0.89
250,508,418,177130,2.39,61.24,54.77,49.9,0,0,0.81,0.89
330,431,402,147750,2.58,51.44,49.81,49.01,71018,2.17,0.95,0.97
330,414,408,135140,2.1,51.44,49.81,49.01,0,0,0.95,0.97
330,441,415,140800,1.9,51.44,49.81,49.01,0,0,0.95,0.97
350,423,405,140130,2.24,48.11,47.18,48.04,65534,2.33,1,0.98
350,397,401,128570,2.16,48.11,47.18,48.04,0,0,1,0.98
350,421,396,131710,2.03,48.11,47.18,48.04,0,0,1,0.98
400,393,376,121080,2.25,47.95,44.83,43.63,54341,2.23,0.91,0.93
400,353,379,107250,2.11,47.95,44.83,43.63,0,0,0.91,0.93
400,396,358,117390,2.33,47.95,44.83,43.63,0,0,0.91,0.93
450,358,331,93131,2,45.62,40.24,40.23,44347,2.33,0.88,0.88
450,333,340,90935,2.12,45.62,40.24,40.23,0,0,0.88,0.88
450,349,327,91498,2.11,45.62,40.24,40.23,0,0,0.88,0.88
500,331,307,82830,2.22,41.61,39.46,38.89,37389,2.26,0.93,0.95
500,293,313,75165,2.26,41.61,39.46,38.89,0,0,0.93,0.95
500,335,290,77633,2.09,41.61,39.46,38.89,0,0,0.93,0.95
550,318,314,77561,1.94,40.47,36.01,37.58,30693,2.14,0.93,0.89
550,276,296,67205,2.28,40.47,36.01,37.58,0,0,0.93,0.89
550,300,291,69410,2.07,40.47,36.01,37.58,0,0,0.93,0.89
0,619,528,326420,-1,70.92,60.53,51.5,221260,10,0.73,0.85
0,475,556,263400,24.21,70.92,60.53,51.5,0,0,0.73,0.85
0,633,461,290810,21.19,70.92,60.53,51.5,0,0,0.73,0.85
25,611,526,315330,8.61,70.92,60.53,51.5,206280,7.5506,0.73,0.85
25,465,551,249370,7.11,70.92,60.53,51.5,0,0,0.73,0.85
25,632,455,273990,5.16,70.92,60.53,51.5,0,0,0.73,0.85
50,604,524,302490,5.35,70.92,60.53,51.5,193040,5.1676,0.73,0.85
50,460,545,241530,5.96,70.92,60.53,51.5,0,0,0.73,0.85
50,618,454,261880,4.22,70.92,60.53,51.5,0,0,0.73,0.85
75,608,523,293450,3.87,70.92,60.53,51.5,180420,4.0841,0.73,0.85
75,459,546,234100,4.25,70.92,60.53,51.5,0,0,0.73,0.85
75,613,449,251860,3.65,70.92,60.53,51.5,0,0,0.73,0.85
100,601,520,279380,3.19,70.92,60.53,51.5,164280,3.2559,0.73,0.85
100,455,539,226760,3.92,70.92,60.53,51.5,0,0,0.73,0.85
100,609,450,241230,2.95,70.92,60.53,51.5,0,0,0.73,0.85
125,594,515,270350,3.01,70.92,60.53,51.5,153320,2.8657,0.73,0.85
125,452,537,216100,3.12,70.92,60.53,51.5,0,0,0.73,0.85
125,604,447,231830,2.65,70.92,60.53,51.5,0,0,0.73,0.85
150,591,515,258580,2.55,70.92,60.53,51.5,142740,2.5653,0.73,0.85
150,451,527,208580,2.91,70.92,60.53,51.5,0,0,0.73,0.85
150,600,445,225870,2.51,70.92,60.53,51.5,0,0,0.73,0.85
175,577,508,243330,2.35,69,60.53,51.5,132940,2.4165,0.75,0.88
175,449,528,203590,2.65,69,60.53,51.5,0,0,0.75,0.88
175,583,442,216010,2.43,69,60.53,51.5,0,0,0.75,0.88
200,574,503,229730,2.07,68.28,60.53,51.5,122810,2.2206,0.75,0.89
200,455,526,196860,2.28,68.28,60.53,51.5,0,0,0.75,0.89
200,582,442,214590,2.39,68.28,60.53,51.5,0,0,0.75,0.89
225,560,461,210520,2.22,67.17,59.75,51.5,114770,2.1265,0.77,0.89
225,449,522,188330,2.13,67.17,59.75,51.5,0,0,0.77,0.89
225,567,447,208730,2.29,67.17,59.75,51.5,0,0,0.77,0.89
250,554,464,202270,2.01,65.62,55.01,51.5,105680,2.1828,0.78,0.84
250,447,475,175580,2.32,65.62,55.01,51.5,0,0,0.78,0.84
250,560,437,200830,2.27,65.62,55.01,51.5,0,0,0.78,0.84
275,490,449,187630,2.58,58.45,53.04,51.45,94535,2.2921,0.88,0.91
275,438,461,166960,2.32,58.45,53.04,51.45,0,0,0.88,0.91
275,515,438,183270,2.2,58.45,53.04,51.45,0,0,0.88,0.91
300,481,437,176950,2.46,57.05,52.65,51.12,87364,2.185,0.9,0.92
300,440,455,159530,2.08,57.05,52.65,51.12,0,0,0.9,0.92
