minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,PrimaryLast,vismin,female,single_credit,upper_division,English_speaker,tenured_prof
yes,36,female,more,0.289915711,4.300000191,upper,yes,yes,24,43,1,0,1,1,0,1,1,1
yes,36,female,more,0.289915711,3.700000048,upper,yes,yes,86,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.289915711,3.599999905,upper,yes,yes,76,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.289915711,4.400000095,upper,yes,yes,77,123,1,1,1,1,0,1,1,1
no,59,male,more,-0.737732172,4.5,upper,yes,yes,17,20,2,0,0,0,0,1,1,1
no,59,male,more,-0.737732172,4,upper,yes,yes,35,40,2,0,0,0,0,1,1,1
no,59,male,more,-0.737732172,2.099999905,upper,yes,yes,39,44,2,1,0,0,0,1,1,1
no,51,male,more,-0.571983576,3.700000048,upper,yes,yes,55,55,3,0,0,0,0,1,1,1
no,51,male,more,-0.571983576,3.200000048,upper,yes,yes,111,195,3,1,0,0,0,1,1,1
no,40,female,more,-0.677963376,4.300000191,upper,yes,yes,40,46,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.5,upper,yes,yes,24,27,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,4.099999905,upper,yes,yes,24,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,4.599999905,upper,yes,yes,17,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.799999952,upper,yes,yes,14,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.799999952,upper,yes,yes,37,42,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.799999952,upper,yes,yes,18,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,4.199999809,upper,yes,yes,15,18,4,1,0,1,0,1,1,1
no,31,female,more,1.509793997,4.400000095,upper,yes,yes,42,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,3.900000095,upper,yes,yes,40,44,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.5,upper,yes,yes,38,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.5,upper,yes,yes,40,45,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.400000095,upper,yes,yes,52,59,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.400000095,upper,yes,yes,49,87,5,1,0,1,0,1,1,1
no,62,male,more,0.588568687,4.199999809,upper,yes,yes,182,282,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.400000095,upper,yes,yes,160,292,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.5,upper,yes,yes,79,130,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.300000191,upper,yes,yes,176,285,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.599999905,upper,yes,yes,155,272,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.800000191,upper,yes,yes,166,286,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.300000191,upper,yes,yes,186,302,6,1,0,0,0,1,1,1
no,33,female,more,-0.126001,4,upper,yes,yes,33,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.126001,4,upper,yes,yes,29,34,7,0,0,1,0,1,1,1
no,33,female,more,-0.126001,4,upper,yes,yes,37,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.126001,3.900000095,upper,yes,yes,29,41,7,0,0,1,0,1,1,1
